titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
"Puerto Rico : viejo San Juan, Caguas, Mayagüez, Ponce, Arecibo, Fajardo, Humacao",Editorial Fisa Escudo de Oro,,1 mapa,Editorial Fisa Escudo de Oro,,Inserta: Índice toponímico ; Plano de San Juan. - Escala [ca. 1:10.400]. - 15 x 21 cm ; Islas de Vieques y Culebra. - [Ca. 1:143.000]. - 12 x 15 cm,col.
Puertos de Blanes y cala de Canyelles,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,,col.
"Puertos de Llafranc, Aiguablava e Islas Hormigas",Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,,col.
"Puertos de Rota, base naval y El Puerto de Santa María",Instituto Hidrográfico de la Marina (España),,1 carta náutica,"Ministerio de Defensa, Secretaría General Técnica",,Inserta: Diagrama de levantamientos y zonas de confianza; tabla de mareas,col.
Puigsacalm Bellmunt : Parc del  Castell de Montesquiu,Editorial Alpina,,1 mapa,Editorial Alpina,Excursionismo -- Mapas,,col.
Rabito,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Rally map : 5-8 octubre 2017,Fundació Enciclopèdia Catalana,,3 mapas en 1 h.,Enciclopèdia Catalana,Carreras de automóviles -- Mapas -- Carreteras -- Mapas,Inserta: Mapa de accesos a Barcelona,col.
Ramat de l'est : trekking del Pallars,Editorial Alpina,,1 mapa,Editorial Alpina,Senderismo -- Mapas,,col.
Red de autobuses nocturnos de Madrid,Consorcio de Transportes de Madrid,,1 plano,Consorcio Regional de Transportes de Madrid,Transportes -- Planos,"Inserta: Relación de líneas de autobuses nocturnos (""búhos""); enlaces mediante códigos QR a información en internet sobre tarifas y a la aplicación móvil del Servicio de Información de Transportes de Madrid en tiempo real; teléfono y web de información del Servicio de Información de Transporte Público",col.
Redondela,Redondela,,1 plano,Concello de Redondela,,Inserta: Información de algunos elementos del patrimonio urbanístico de la villa; fotografías,col.
Redondela,Redondela,,1 plano,Concello de Redondela,,Inserta: Información de algunos elementos del patrimonio urbanístico de la villa; fotografías,col.
Redondela,Redondela,,1 plano,Concello de Redondela,,Inserta: Información de algunos elementos del patrimonio urbanístico de la villa; fotografías,col.
Retrouvez le paradise : carte pour parcourir les Asturias,VinciDG,,1 mapa,Sociedad Pública de Gestión y Promoción Turística y Cultural del Principado de Asturias,,Inserta: Mapa de localización de municipios del Principado de Asturias,col.
"Reus, Cambrils",Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,Suelos -- Mapas -- Suelos -- Mapas,"Incluye esquema edafológico, esquema geológico y clasificación de los suelos",col.
"Reynold's distance Map of London with Doctor Watson : with the important places in all his novels : A Study in Scarlet, The Sign of four, The Hound of Baskervilles and The Valley of Fear",Aventuras Literarias S.L.,,1 plano,Aventuras Literarias,Rutas literarias -- Planos,,col.
Ría de Arousa,Ediciones Cartamar,,1 carta náutica,Ediciones Cartamar,,Al verso: Balizamiento marino y características de las luces; escala Beaufort; puertos deportivos con servicio de tránsito; código internacional de señales marinas,col.
Rianxo : o mar feito tradición,Rianxo,,1 plano,Concello de Rianxo,,"Incluye callejero, teléfonos de interés, información de alojamientos turísticos y restauración y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadeo,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Ribadeo, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Ribadesella : la playa de los Picos de Europa,Proyectos y Desarrollos Cartográficos,,1 plano,Oficina de Turismo de Ribadesella,,Inserta: Callejero; relación de lugares de interés con su localización en el plano; fotografías,col.
Ribera del Duero,"Consejo Regulador de la Denominación de Origen ""Ribera del Duero""",,1 mapa,Consejo Regulador de la Denominación de Origen Ribera del Duero,Bodegas -- Mapas -- Vinos -- Mapas,"Inserta: Mapas de localización en Castilla y León, España, Europa y el Mundo",col.
Río Guadalquivir : de la Huerta del Rincón al Puente de San Telmo,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,Inserta: Niveles de mareas,col.
Río Guadalquivir : del Caño de Enríquez al Caño de San Carlos,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,Inserta: Distribución de cartas del Río Guadalquivir,col.
Río Guadalquivir : del Caño de la Lisa a la Atravesada del Rincón,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,Inserta: Distribución de cartas del Río Guadalquivir,col.
Ripoll,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapa de agrupaciones litológicas y elementos estructurales. - 1:50.000,col.
Ripollet,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Información comercial que continúa al verso, con su localización en el plano; fotografías",col.
Riumar,TotParc,,1 plano,Tot Parc,Comercios -- Planos,Inserta: Mapa de localización de Riumar en el Delta del Ebro,col.
Ronda,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Ronda,col.
Ronda,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Ronda,col.
Ronda,Ediciones A.M.,,1 plano,Ediciones A.M.,,"Incluye callejero, plano ampliación del centro histórico, Serrato y Montecorto y relación de monumentos y lugares de interés con su localización en el plano",col.
Ronda,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y el Deporte de Andalucía,,Inserta: Mapa de accesos por carretera,col.
Ronda,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y el Deporte de Andalucía,,Inserta: Mapa de accesos por carretera,col.
Ronda,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Ronda,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
"Roses, cap de Creus, far de Roses",Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Suelos -- Mapas -- Suelos -- Mapas,"Incluye esquema edafológico, esquema geológico y clasificación de los suelos",col.
Rosselló,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de equipamientos y servicios con su localización en el plano; ampliación del centro urbano,col.
Routes en kayak = Escursioni in kayak : Menorca,Fundació Foment del Turisme de Menorca,Escursioni in kayak,1 mapa,Fundació Foment del Turisme de Menorca,Piragüismo -- Mapas,"Inserta: Lugares recomendados para realizar rutas en kayak de mar, con su localización en el mapa",col.
Rubielos de Mora,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Ruesga,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Ruta de los dólmenes de Belmez : paisajes con historia,Córdoba (Provincia),,1 mapa,"Diputación de Córdoba, Delegación de Medio Ambiente ;",Excursionismo -- Mapas,Inserta: Mapa de localización en la provincia de Córdoba; perfil longitudinal de la ruta,col.
Ruta de Pedra en Sec : GR 211,Mallorca,,1 mapa,"Consell de Mallorca, Departament de Medi Ambient",Senderismo -- Mapas -- Senderismo -- Mapas,Inserta: Consejos a los visitantes; localización de refugios de montaña; fotografías,col.
Ruta del Monte Malagón en Belalcázar,EPRINSA,,1 mapa,"Diputación de Córdoba, Delegación de Medio Ambiente",Excursionismo -- Mapas,Inserta: Mapa de localización en la provincia de Córdoba; perfil longitudinal,col.
La Ruta del vi = La ruta del vino = The wine route = La route du vin,Priorat,La ruta del vino,1 mapa,Priorat Turisme,Bodegas -- Mapas -- Enoturismo -- Mapas,Inserta: Pequeños mapas de localización en Cataluña y Europa,col.
Ruta [por la] Ribeira Sacra [en la] Provincia de Ourense,VisualQ,,1 mapa,Visualq,,"Inserta: Pequeño mapa de localización de la Ribera Sacra en Orense y España; descripción de la ruta y lugares recomendados localizados en el mapa, que continúa al verso; información comercial que continúa al verso",col.
Rutas en kayak = Rutes en caiac : Menorca,Fundació Foment del Turisme de Menorca,Rutes en caiac,1 mapa,Fundació Foment del Turisme de Menorca,Piragüismo -- Mapas,"Inserta: Lugares recomendados para realizar rutas en kayak de mar, con su localización en el mapa",col.
Rutes en bicicleta,Cartograma 2012,,1 mapa,Ajuntament de Mont-roig del Camp,Cicloturismo -- Mapas -- Cicloturismo -- Mapas,Inserta: Clave de color de las rutas señaladas en el mapa con distancias en kilómetros,col.
Sa Pobla,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sa Ràpita,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sabadell,Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,Geología -- Mapas,Incluye mapa de agrupaciones litológicas y elementos estructurales. - 1:50.000,col.
Sada : rutas de sendeirismo,Sada (La Coruña),,1 ortofotomapa,Turismo de Sada,Senderismo -- Mapas,Inserta: Pequeño mapa de localización de Sada en la provincia de La Coruña; clave de señalización de las rutas,col.
Sagunto - Sagunt,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sakana : carte de randonnées = Footpath map,Agencia de Desarrollo de Sakana,,1 mapa,Sakanako Garapen Agentzia,Senderismo -- Mapas,Al verso: Información sobre el valle de Sakana y la Sierra de Aralar; descripción y datos técnicos de las rutas propuestas; información de los senderos GR y Grandes Recorridos; consejos prácticos para los senderistas; fotografías,col.
Sakana : ibilbideen mapa = mapa de senderos,Agencia de Desarrollo de Sakana,,1 mapa,Sakanako Garapen Agentzia,Senderismo -- Mapas,Al verso: Información sobre el valle de Sakana y la Sierra de Aralar; descripción y datos técnicos de las rutas propuestas; información de los senderos GR y Grandes Recorridos; consejos prácticos para los senderistas; fotografías,col.
Salamanca y provincia,Editorial Fisa Escudo de Oro,,1 plano,Fisa Escudo de Oro,Carreteras -- Mapas,Incluye callejero del centro de Salamanca y relación de lugares de interés,col.
Salou,Patronato Municipal de Turismo de Salou,,1 plano,Visit Salou,,Inserta: Teléfonos de interés; oficinas de información; información comercial que continúa al verso,col.
San Benito,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
San Clemente,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
San Clemente,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
San Millán de la Cogolla,La Rioja Turismo,,1 plano,La Rioja Tourism Office,,Inserta: Mapa de localización en La Rioja,col.
San Millán de la Cogolla,La Rioja Turismo,,1 mapas,La Rioja Tourist Office,,Inserta: Mapa de localización en La Rioja,col.
San Pedro de Alcántara,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
San Vicente de la Barquera,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
San Vicente de Leira,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
San Xuan - San Juan de Beleño,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sangüesa,"Cobo, Ana",,1 plano,"Gobierno de Navarra, Oficina de Turismo",,Inserta: Monumentos y edificios de interés turístico con su localización en el plano,col.
Sangüesa,"Cobo, Ana",,1 plano,Office du Tourisme,,Inserta: Relación de visitas recomendadas con su localización en el plano,col.
Sant Andreu de la Barca,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Equipamientos, servicios, monumentos y lugares de interés localizados en el plano",col.
Sant Esteve de Palautordera,SR Mapes,,1 plano,SR Mapes,,Inserta: Mapa del término municipal de Sant Esteve de Palautordera; equipamientos y servicios con su localización en el plano; información sobre situación geográfica y fiestas locales; teléfonos de interés; índice de calles; información comercial que continúa al verso con su localización en el plano; fotografías,col.
Sant Feliu de Guíxols,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Teléfonos de interés,col.
Sant Francesc de Formentera,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sant Gregori,SR Mapes,,1 mapa,SR Mapes,,Inserta: callejero; información comercial con su localización en el plano,col.
Sant Joan les Fonts,SR Mapes,,1 plano,SR Mapes,,"Inserta: Información comercial que continúa al verso, con su localización en el plano",col.
Sant Julià de Vilatorta i Vilalleons,SR Mapes,,1 plano,SR Mapes,,Inserta: Callejero; equipamientos y servicios,col.
Sant Julià de Vilatorta i Vilalleons,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de equipamientos y servicios con su localización en el plano; callejero,col.
Sant Llorenç des Cardassar,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sant Llorenç des Cardassar : Cala Millor,Faqtoria Muntaner,,1 plano,Faqtoria Muntaner,,Inserta: Lugares de interés; índice de calles,col.
Sant Pere de Vilamajor,SR Mapes,,1 plano,SR Mapes,,Inserta: Callejero; relación de comercios y restaurantes con su localización en el plano; equipamientos y servicios localizados en el plano,col.
Sant Pere de Vilamajor,SR Mapes,,1 plano,SR Mapes,,Inserta: Callejero; relación de comercios y restaurantes con su localización en el plano; equipamientos y servicios localizados en el plano,col.
Sant Pere Pescador,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Equipamientos y servicios con su localización en el plano,col.
Sant Salvador de Toló,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Hidrogeología -- Mapas,"Incluye mapas de acuíferos, tabla de litología y permeabilidad",col.
Sant Vicenç de Castellet,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Callejero; relación de equipamientos y servicios con su localización en el plano; teléfonos de interés; pequeños mapas del término municipal y de localización del municipio en Cataluña; plano de la zona de Can Xesc,col.
Santa Coloma de Farners,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Hidrogeología -- Mapas,Incluye 2 mapas de acuíferos; tabla de litología y permeabilidad,col.
Santa Cruz de Mudela,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Santa Eulàlia de Ronçana,SR Mapes,,1 plano,SR Mapes,,Inserta: Datos demográficos; listado de masías localizadas en el mapa; equipamientos y servicios localizados en el mapa,col.
Santa Maria del Camí,Santa María del Camí,,1 plano,Ajuntament de Santa Maria del Camí,,Inserta: Mapa de accesos por carretera,col.
Santa Marta de Ortigueira,La Coruña (Provincia),,1 mapa,Deputación da Coruña,,"Incluye plano del centro urbano, teléfonos de interés, relación de lugares de interés con su localización en el mapa y en el plano, pequeño plano de Punta dos Prados",col.
Santa Olalla : callejero,Santa Olalla,,1 plano,Ayuntamiento de Santa Olalla,,Inserta: Índice de calles,col.
Santanyí,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Santiago : cidade ilustrada,"Vigo, Miguel",,1 plano,El Patito Editorial,,Inserta: Relación de lugares de interés con su localización en el plano,col.
Santiago de Alcántara,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Santiago de Calatrava,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Santiago de Compostela,Turismo de Galicia,,1 plano,Turismo de Galicia,,"Al verso: Información y localización en el plano de monumentos, edificios y lugares de interés turístico",col.
Santiago de Compostela,Ediciones A.M.,,1 plano,Ediciones A.M.,,Inserta: Callejero; museos; teléfonos de interés; lugares de interés con su localización en el plano,col.
Santiago de Compostela,Turismo de Galicia,,1 plano,Turismo de Galicia,,Al verso: Visitas recomendadas y edificios de interés arquitectónico con su localización en el plano,col.
Santiago de Compostela,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Santillana del Mar : un lugar para pasear,Gestidea,,1 mapa,Ayuntamiento de Santillana del Mar,Excursionismo -- Mapas,Inserta: Rutas y fotografías,col.
Santo Domingo de la Calzada : land on the Way,La Rioja Turismo,,1 plano,La Rioja Tourism Office,,Inserta: Relación de lugares de interés con su localización en el plano,col.
Santo Domingo de la Calzada : terre du Chemin de Saint-Jacques,La Rioja Turismo,,1 plano,Office du Tourisme de La Rioja,,Inserta: Relación de lugares de interés con su localización en el plano,col.
Santuario de la Virgen de Rus,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Segovia : mapa provincial,Instituto Geográfico Nacional (España),,1 mapa,Centro Nacional de Información Geográfica,Nombres geográficos -- Mapas -- Carreteras -- Mapas,"Inserta: Tabla de territorios anejos con nombre, municipio al que pertenecen y correspondencia en el Mapa topográfico nacional 1:50.000 (MTN50)",col.
Selva,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
La Senda de Camille : trekking circular = circular trek,Editorial Alpina,,1 mapa,Editorial Alpina,Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas,,col.
Senda pirenaica : GR 11 : Cabo Higer - Cap de Creus,Editorial Alpina,,22 mapas,Editorial Alpina ;,Senderismo -- Mapas,Insertan: Perfil de altitud del recorrido; datos de distancia y tiempo estimado; fotografías,col.
Sender Santa Eugènia de Berga : PR C-93 : mapa excursionista,"Sala Oliveras, Salvador",,1 mapa,Monteditorial,Excursionismo -- Mapas,Incluye mapas de localización de Santa Eugènia de Berga en Europa y de accesos por carretera,col.
Senderisme Mont-Roig i Miami Platja,Mont-Roig,,1 mapa,Mont-roig Miami Turisme,Senderismo -- Mapas -- Senderismo -- Mapas,Inserta: Relación de las siete rutas de senderismo señaladas en el mapa,col.
Senderismo [Andalucía],Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,Senderismo -- Mapas,Inserta: Mapa de localización de Andalucía en España y Europa; relación de vías verdes localizadas en el mapa,col.
Serra,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Serra de Castelltallat,"Sant Vidal, Roger",,1 mapa,Monteditorial,Excursionismo -- Mapas,"Incluye climograma, perfiles de los itinerarios señalados en el mapa, niveles de dificultad, distancias y tiempos",col.
"Serra d'Espadà : GR-36, la Trans-Espadà : mapa i guia excursionista","Arnau Juan, Óscar",,2 mapas,El Tossal cartografies,Excursionismo -- Mapas,Inserta: Pequeños mapas de localización de la zona representada en el Parque Natural de la Sierra de Espadà,col.
Serra do Xurés : BTT Galicia,Instituto de Estudios del Territorio (Galicia),,1 mapa,Turismo de Galicia,Cicloturismo -- Mapas,Incluye mapa de localización del parque en la provincia de Orense y Galicia; esquema de accesos por carretera; textos con información general y recomendaciones para la visita; tabla de rutas recomendadas con distancia total y grado de dificultad; fotografías,col.
Serra do Xurés : BTT Galicia,Instituto de Estudios del Territorio (Galicia),,1 mapa,Turismo de Galicia,Cicloturismo -- Mapas,Incluye mapa de localización del parque en la provincia de Orense y Galicia; esquema de accesos por carretera; textos con información general y recomendaciones para la visita; tabla de rutas recomendadas con distancia total y grado de dificultad; fotografías,col.
Serra do Xurés : BTT Galicia,Instituto de Estudios del Territorio (Galicia),,1 mapa,Turismo de Galicia,Cicloturismo -- Mapas,Incluye mapa de localización del parque en la provincia de Orense y Galicia; esquema de accesos por carretera; textos con información general y recomendaciones para la visita; tabla de rutas recomendadas con distancia total y grado de dificultad; fotografías,col.
"Ses Salines, Colònia Sant Jordi, Mallorca","Oriola, Carmen",,1 mapa,Ajuntament de Ses Salines,,Inserta: Plano de Ses Salines. - 1:10.000; Plano de Colònia Sant Jordi. - 1:10.000; Arxipièlag de Cabrera. - 1:100.000,col.
"Ses Salines, Colònia Sant Jordi, Mallorca","Oriola, Carmen",,1 mapa,Ajuntament de Ses Salines,,Inserta: Plano de Ses Salines. - 1:10.000; Plano de Colònia Sant Jordi. - 1:10.000; Arxipièlag de Cabrera. - 1:100.000,col.
Sestaoko kale izendegia = Mapa callejero de Sestao,Geograma,Mapa callejero de Sestao,1 mapa,Sestaoko Udala,Nombres geográficos -- Mapas,"Inserta: Nomenclátor de calles; relación de centros oficiales, centros educativos, centros deportivos e iglesias con su localización en el mapa",col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Sevilla,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Sevilla,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Sevilla,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Sevilla,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a Sevilla,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos por carretera,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y el Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y el Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Sevilla,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Mapa de accesos a la ciudad,col.
Sevilla,"Vilà Cuscó, Marc ",,1 plano,Lidelsur,,Al verso: Información de visitas recomendadas e índice de lugares con su localización en el plano,col.
Sevilla,"Vilà Cuscó, Marc",,1 plano,Lidelsur,,Al verso: Información de visitas recomendadas e índice de lugares con su localización en el plano,col.
Sevilla,"Vilà Cuscó, Marc",,1 plano,Cartograma 2012,,Al verso: Índice de lugares; información turística; fotografías,col.
Sevilla,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
"Siente Rías Baixas : porque las mejores emociones no se planifican, se sienten",Turismo Rías Baixas,,1 mapa,Turismo Rías Baixas,Carreteras -- Mapas,,col.
"Sierra de Andia, Etxauri","Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas,,col.
Sierra del Aramo (Sur),"Fernández Liria, Pablo",,1 mapa,Grupo de Montaña Torreblanca,Senderismo -- Mapas,Inserta: Relación de caminos y sendas destacables,col.
Siétamo,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Sigüenza,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
"Sinte, vive... Outeiro de Rei",Outeiro de Rei,,1 mapa,Concello de Outeiro de Rei,,Inserta: Mapa de localización en Galicia y en Europa; fotografías,col.
Sisante,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
"Sites of Columbus : Palos de la Frontera, La Rábida, Moguer y Huelva",Mapa Cultural Ediciones,,1 mapa,Mapa Cultural Ediciones,,"Inserta: Sitios de interés para visitas, con su localización en el mapa; ampliaciones de Palos de la Frontera, Paraje de La Rábida, Moguer y Huelva",col.
Solana del Pino,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Solsona,Solsona,,1 mapa,"Ajuntament de Solsona, [Solsona Turisme]",Senderismo -- Mapas,,"ambas caras, col."
